"playlist_title","video_id","title","views","likes","comments","published_at","duration","year","month","engagement_rate"
"PODPAQUERA","-rYdWF9Ky2U","10 MULHERES vs MANOEL GOMES ft. BRINO, MAUMAU & THAIZOCA","986755","58526","1014","2024-11-17 23:30:50.000","4546","2024","11","0.06033919260606736"
"PODPAQUERA","Ek4hPjbv0zY","5 MULHERES + 5 HOMENS vs SOFIA SANTINO ft. DOARDA E CICLOPIN","1916924","137977","794","2024-11-03 22:56:48.000","3175","2024","11","0.07239254138400897"
"PODPAQUERA","lE2JZYBnQUA","10 MULHERES vs MC TUTO ft. MC JOÃOZINHO VT, MAUMAU, THAIZOCA & MITICO","1743623","85741","496","2024-10-20 23:26:19.000","3275","2024","10","0.04945851253395946"
"PODPAQUERA","w_eWmUgqHLU","10 MULHERES vs MITICO ft. BRINO, MAUMAU & THAIZOCA","3109180","202029","1890","2024-09-28 02:40:44.000","5665","2024","9","0.06558610308827408"
"PODPAH EM PARIS","ptFxlxNo51M","ENTREVISTA COM ISAQUIAS QUEIROZ & DEFANTE NA MASSAGEM - PODPAH EM PARIS #18","461199","14820","18","2024-08-11 23:27:54.000","4951","2024","8","0.03217266299363181"
"PODPAH EM PARIS","bWkDetzVinI","MOSTRANDO TUDO DA DISNEY DE PARIS - PODPAH EM PARIS #17","455551","14628","17","2024-08-10 23:18:36.000","3603","2024","8","0.0321478824544343"
"PODPAH EM PARIS","Tkr-Rvmctkw","TODA A REPERCUSSÃO DO OURO NO VÔLEI DE PRAIA - PODPAH EM PARIS #16","490674","18833","9","2024-08-09 23:17:27.000","3815","2024","8","0.038400241300741426"
"PODPAH EM PARIS","YnoO6CICA0k","ENTREVISTA EXCLUSIVA COM HUGO CALDERANO - PODPAH EM PARIS #15","436582","13929","63","2024-08-08 23:32:31.000","4703","2024","8","0.03204896216518317"
"PODPAH EM PARIS","EqoaLqM11RY","TODO MUNDO AMA A FLAVINHA - PODPAH EM PARIS #14","713742","28764","155","2024-08-07 23:37:39.000","5239","2024","8","0.040517441876756585"
"PODPAH EM PARIS","AwNWJERUzN4","O FUTEBOL FEMININO ESTÁ NA FINAL DA OLIMPÍADA - PODPAH EM PARIS #13","422945","15147","34","2024-08-06 23:19:52.000","4636","2024","8","0.03589355589970327"
"PODPAH EM PARIS","523DAGXyJtM","BIA SOUZA FALA SOBRE OURO OLÍMPICO - PODPAH EM PARIS #12","450742","13844","75","2024-08-05 23:23:50.000","4260","2024","8","0.030880193103815488"
"PODPAH EM PARIS","RJ85-6sRzTk","PULAMOS CORDA NA RUA E AULA DE JUDÔ AO VIVO COM MEDALISTA ft. LEO GONÇALVES - PODPAH EM PARIS #11","433855","17406","10","2024-08-04 23:20:25.000","4231","2024","8","0.04014244390406933"
"PODPAH EM PARIS","o2tdr5TIa-Q","FUTEBOL FEMININO BRILHANDO + REBECA ANDRADE RAINHA - PODPAH EM PARIS #10","456202","19394","22","2024-08-03 23:10:46.000","3753","2024","8","0.04256009399345027"
"PODPAH EM PARIS","B4qE65p0igQ","TODOS OS DETALHES DO PRIMEIRO OURO DO BRASIL EM PARIS - PODPAH EM PARIS #09","450664","17089","29","2024-08-02 23:11:40.000","3663","2024","8","0.037983952567766675"
"PODPAH EM PARIS","nN6Dg0Mcifs","JORGINHO É ABSURDO NO SKATE TAMBÉM - PODPAH EM PARIS #08","572203","9691","23","2024-08-01 23:22:55.000","4051","2024","8","0.016976492608392475"
"PODPAH EM PARIS","ab4FLsVP_ps","QUAL PAÍS TEM O MELHOR FUTEBOL? - PODPAH EM PARIS #07","449494","14212","14","2024-07-31 23:09:33.000","3647","2024","7","0.03164892078648436"
"PODPAH EM PARIS","wZG_2ka-h2M","O QUE TÁ ACONTECENDO EM PARIS? - PODPAH EM PARIS #06","450903","17935","24","2024-07-30 23:03:37.000","3398","2024","7","0.0398289654315895"
"PODPAH EM PARIS","Jlk26kYmXdE","EM BUSCA DA MONALISA ft. FRED BRUNO - PODPAH EM PARIS #05","102368","4776","15","2024-07-29 23:11:30.000","3758","2024","7","0.046801734917161615"
"PODPAH EM PARIS","brZ17-iIn7s","PODPAH EM PARIS - #04","202502","8083","23","2024-07-28 23:18:17.000","4133","2024","7","0.040029234279167616"
"PODPAH EM PARIS","pfnOkgxQopg","PODPAH EM PARIS - #03","217465","8345","21","2024-07-27 23:12:21.000","3803","2024","7","0.03847055848067505"
